,0,1,2,3,4,5,6,7
index,count,mean,std,min,25%,50%,75%,max
somme_total,4339.0,2053.793017746026,8988.248381377649,0.0,307.24499999999995,674.4499999999998,1661.6400000000003,280206.01999999984
nb_article_total,4339.0,1194.2143351002535,5055.603048601803,1.0,160.0,379.0,993.0,197491.0
nb_categorie_total,4339.0,91.70868863793501,228.7928520567128,1.0,17.0,41.0,100.0,7847.0
nb_factures,4339.0,4.271952062687255,7.705492771314847,1.0,1.0,2.0,5.0,210.0
mean_nb_article_facture,4339.0,256.3139029728953,1325.9391048249322,1.0,93.0,161.75,272.0,74215.0
mean_somme_par_facture,4339.0,419.04770154779357,1796.3208142874132,0.0,178.505,293.69,430.0224999999999,84236.25
mean_nb_categorie_facture,4339.0,22.186643548405968,20.299502009769476,1.0,9.475,17.0,28.25,300.6470588235294
mean_somme_par_article,4339.0,3.0131700394065675,33.21449874219383,0.0,1.4079926928685618,1.808677685950413,2.351654281754537,2033.1
ecart_moy_2_achats,4339.0,156.05185526619036,153.97563719423158,0.0,31.0,63.0,365.0,365.0
ecart_min_2_achats,4339.0,156.7448720903434,161.6143008639867,0.0,8.0,62.0,365.0,365.0
ecart_max_2_achats,4339.0,196.00806637474074,136.19153883678845,0.0,74.0,149.0,365.0,365.0
day_of_week,4339.0,2.540908043327956,1.4457684413361027,0.0,2.0,2.0,3.0,6.0
valeur_facture_1,4339.0,425.55842429131064,1289.996317008176,0.0,167.07999999999998,301.10999999999996,449.40999999999997,77183.6
interval_jour_achat_n1,4339.0,4.517169854805255,3.817997190451129,0.0,1.0,4.0,8.0,12.0
interval_moyenne_horaire,4339.0,1.8020281170776677,0.5322564665548237,0.0,1.0,2.0,2.0,4.0
interval_heure_achat_n1,4339.0,1.7720672966121227,0.6277681082080736,0.0,1.0,2.0,2.0,4.0
labels,4339.0,11.656141968195437,6.20520765796787,0.0,6.0,12.0,18.0,19.0
