,0,1,2,3,4,5,6,7
index,count,mean,std,min,25%,50%,75%,max
num_critic_for_reviews,4993.0,140.1942719807731,121.60167539623113,1.0,50.0,110.0,195.0,813.0
duration,5028.0,107.2010739856802,25.19744080882403,7.0,93.0,103.0,118.0,511.0
director_facebook_likes,4939.0,686.5092123911724,2813.328606865637,0.0,7.0,49.0,194.5,23000.0
actor_3_facebook_likes,5020.0,645.0097609561753,1665.0417284458572,0.0,133.0,371.5,636.0,23000.0
actor_1_facebook_likes,5036.0,6560.04706115965,15020.759119983974,0.0,614.0,988.0,11000.0,640000.0
gross,4159.0,48468407.52680933,68452990.43875286,162.0,5340987.5,25517500.0,62309437.5,760505847.0
num_voted_users,5043.0,83668.16081697402,138485.25680596207,5.0,8593.5,34359.0,96309.0,1689764.0
cast_total_facebook_likes,5043.0,9699.06385088241,18163.799124045912,0.0,1411.0,3090.0,13756.5,656730.0
facenumber_in_poster,5030.0,1.3711729622266402,2.0135759199960632,0.0,0.0,1.0,2.0,43.0
num_user_for_reviews,5022.0,272.77080844285143,377.9828855657681,1.0,65.0,156.0,326.0,5060.0
budget,4551.0,39752620.436387606,206114898.44868386,218.0,6000000.0,20000000.0,45000000.0,12215500000.0
title_year,4935.0,2002.4705167173252,12.47459891927068,1916.0,1999.0,2005.0,2011.0,2016.0
actor_2_facebook_likes,5030.0,1651.7544731610337,4042.4388626418645,0.0,281.0,595.0,918.0,137000.0
imdb_score,5043.0,6.442137616498111,1.1251158657328104,1.6,5.8,6.6,7.2,9.5
aspect_ratio,4714.0,2.2204030547307805,1.385112535303263,1.18,1.85,2.35,2.35,16.0
movie_facebook_likes,5043.0,7525.9645052548085,19320.445109946737,0.0,0.0,166.0,3000.0,349000.0
